Station,DataName,Value,MeasureNumber,Unit
1AMereni,details_video1,"{'hands': 0.39586879042609235, 'height': 1.5200894950581374, 'hips': 0.19406426976190788, 'la1': 0.29854294973699463, 'la2': 0.19638933065610217, 'lf': 0.07661197939744058, 'll1': 0.3436176936675585, 'll2': 0.41260093993212893, 'ra1': 0.22042105571008053, 'ra2': 0.19769722977320958, 'rf': 0.06720431798286423, 'rl1': 0.41525381984996224, 'rl2': 0.36108621693320153, 'shoulders': 0.3178168437577257}",,
1AMereni,details_video2,"{'hands': 0.39586879042609235, 'height': 1.5200894950581374, 'hips': 0.19406426976190788, 'la1': 0.29854294973699463, 'la2': 0.19638933065610217, 'lf': 0.07661197939744058, 'll1': 0.3436176936675585, 'll2': 0.41260093993212893, 'ra1': 0.22042105571008053, 'ra2': 0.19769722977320958, 'rf': 0.06720431798286423, 'rl1': 0.41525381984996224, 'rl2': 0.36108621693320153, 'shoulders': 0.3178168437577257}",,
1AMereni,details_video3,"{'hands': 0.39586879042609235, 'height': 1.5200894950581374, 'hips': 0.19406426976190788, 'la1': 0.29854294973699463, 'la2': 0.19638933065610217, 'lf': 0.07661197939744058, 'll1': 0.3436176936675585, 'll2': 0.41260093993212893, 'ra1': 0.22042105571008053, 'ra2': 0.19769722977320958, 'rf': 0.06720431798286423, 'rl1': 0.41525381984996224, 'rl2': 0.36108621693320153, 'shoulders': 0.3178168437577257}",,
1AMereni,processed_at,2025-01-17T15:25:31.313,,
1AMereni,started_at,2025-01-17T15:23:53.426,,
1AMereni,video1,storage/2025-01-14/1AMereni-20250114-163000-cam1.mp4,,
1AMereni,video2,storage/2025-01-14/1AMereni-20250114-163000-cam2.mp4,,
1AMereni,video3,storage/2025-01-14/1AMereni-20250114-163000-cam3.mp4,,
2BPohybocit,distance1,1.188745,1.0,centimeters
2BPohybocit,distance2,0.7128308,1.0,centimeters
2BPohybocit,touchPosition_touch_x,0.07110254,1.0,world units
2BPohybocit,touchPosition_touch_x_second,-0.02377523,1.0,world units
2BPohybocit,touchPosition_touch_y,0.1050997,1.0,world units
2BPohybocit,touchPosition_touch_y_second,0.0576806,1.0,world units
2BPohybocit,targetPosition_endpointposition_x,-0.006949998,1.0,world units
2BPohybocit,targetPosition_endpointposition_y,-0.0393,1.0,world units
2BPohybocit,distance1,1.415322,2.0,centimeters
2BPohybocit,distance2,1.822465,2.0,centimeters
2BPohybocit,touchPosition_touch_x,0.03044082,2.0,world units
2BPohybocit,touchPosition_touch_x_second,0.07110254,2.0,world units
2BPohybocit,touchPosition_touch_y,0.1525204,2.0,world units
2BPohybocit,touchPosition_touch_y_second,0.1999395,2.0,world units
2BPohybocit,targetPosition_endpointposition_x,-0.006949998,2.0,world units
2BPohybocit,targetPosition_endpointposition_y,-0.0393,2.0,world units
2BPohybocit,distance1,2.406937,3.0,centimeters
2BPohybocit,distance2,2.180964,3.0,centimeters
2BPohybocit,touchPosition_touch_x,0.05077146,3.0,world units
2BPohybocit,touchPosition_touch_x_second,0.01688648,3.0,world units
2BPohybocit,touchPosition_touch_y,0.2880047,3.0,world units
2BPohybocit,touchPosition_touch_y_second,0.2609079,3.0,world units
2BPohybocit,targetPosition_endpointposition_x,-0.006949998,3.0,world units
2BPohybocit,targetPosition_endpointposition_y,-0.0393,3.0,world units
2CPohybocit,AnswerDown,False,,
2CPohybocit,AnswerUp,True,,
2CPohybocit,Duration,00:00:21.2602286,,
2CPohybocit,LimitReached,False,,
2CPohybocit,StartMoveTime,2025-01-20 15:21:59.619,,
2CPohybocit,StartTime,2025-01-20 15:21:58.600,,
2CPohybocit,TestSet_Delay,1000,,
2CPohybocit,TestSet_Id,1,,
2CPohybocit,TestSet_Speed,5,,
2CPohybocit,TestSet_Up,True,,
2CPohybocit,AnswerDown,True,,
2CPohybocit,AnswerUp,False,,
2CPohybocit,Duration,00:00:08.4033333,,
2CPohybocit,LimitReached,False,,
2CPohybocit,StartMoveTime,2025-01-20 15:22:41.348,,
2CPohybocit,StartTime,2025-01-20 15:22:39.315,,
2CPohybocit,TestSet_Delay,2000,,
2CPohybocit,TestSet_Id,2,,
2CPohybocit,TestSet_Speed,5,,
2CPohybocit,TestSet_Up,False,,
2CPohybocit,AnswerDown,True,,
2CPohybocit,AnswerUp,False,,
2CPohybocit,Duration,00:00:06.5609293,,
2CPohybocit,LimitReached,False,,
2CPohybocit,StartMoveTime,2025-01-20 15:23:00.605,,
2CPohybocit,StartTime,2025-01-20 15:22:58.572,,
2CPohybocit,TestSet_Delay,2000,,
2CPohybocit,TestSet_Id,3,,
2CPohybocit,TestSet_Speed,10,,
2CPohybocit,TestSet_Up,False,,
2CPohybocit,AnswerDown,True,,
2CPohybocit,AnswerUp,False,,
2CPohybocit,Duration,00:00:01.8509557,,
2CPohybocit,LimitReached,False,,
2CPohybocit,StartMoveTime,2025-01-20 15:23:58.871,,
2CPohybocit,StartTime,2025-01-20 15:23:55.826,,
2CPohybocit,TestSet_Delay,3000,,
2CPohybocit,TestSet_Id,4,,
2CPohybocit,TestSet_Speed,10,,
2CPohybocit,TestSet_Up,True,,
2CPohybocit,AnswerDown,False,,
2CPohybocit,AnswerUp,True,,
2CPohybocit,Duration,00:00:03.0864944,,
2CPohybocit,LimitReached,False,,
2CPohybocit,StartMoveTime,2025-01-20 15:24:17.984,,
2CPohybocit,StartTime,2025-01-20 15:24:16.965,,
2CPohybocit,TestSet_Delay,1000,,
2CPohybocit,TestSet_Id,5,,
2CPohybocit,TestSet_Speed,15,,
2CPohybocit,TestSet_Up,True,,
2CPohybocit,AnswerDown,True,,
2CPohybocit,AnswerUp,False,,
2CPohybocit,Duration,00:00:03.6911096,,
2CPohybocit,LimitReached,False,,
2CPohybocit,StartMoveTime,2025-01-20 15:24:32.107,,
2CPohybocit,StartTime,2025-01-20 15:24:30.073,,
2CPohybocit,TestSet_Delay,2000,,
2CPohybocit,TestSet_Id,6,,
2CPohybocit,TestSet_Speed,15,,
2CPohybocit,TestSet_Up,False,,
3AStereognozie,length,4.953,1.0,centimeters
3AStereognozie,touchPosition_lower_x,-3.743519,1.0,world units
3AStereognozie,touchPosition_lower_y,-1.661111,1.0,world units
3AStereognozie,touchPosition_upper_x,-3.731482,1.0,world units
3AStereognozie,touchPosition_upper_y,1.155555,1.0,world units
3AStereognozie,deviationsFromMiddle_lower_x_deviation,0.01058333,1.0,centimeters
3AStereognozie,deviationsFromMiddle_upper_x_deviation,0.01058333,1.0,centimeters
3AStereognozie,length,7.514166,2.0,centimeters
3AStereognozie,touchPosition_lower_x,-5.07963,2.0,world units
3AStereognozie,touchPosition_lower_y,-1.998148,2.0,world units
3AStereognozie,touchPosition_upper_x,-4.237037,2.0,world units
3AStereognozie,touchPosition_upper_y,2.275,2.0,world units
3AStereognozie,deviationsFromMiddle_lower_x_deviation,0.7408333,2.0,centimeters
3AStereognozie,deviationsFromMiddle_upper_x_deviation,0.7408333,2.0,centimeters
3AStereognozie,length,8.255,3.0,centimeters
3AStereognozie,touchPosition_lower_x,-7.848148,3.0,world units
3AStereognozie,touchPosition_lower_y,-2.07037,3.0,world units
3AStereognozie,touchPosition_upper_x,-6.825,3.0,world units
3AStereognozie,touchPosition_upper_y,2.624074,3.0,world units
3AStereognozie,deviationsFromMiddle_lower_x_deviation,0.8995833,3.0,centimeters
3AStereognozie,deviationsFromMiddle_upper_x_deviation,0.8995833,3.0,centimeters
3BStereognozie,firstObject,A,1.0,nominal
3BStereognozie,firstObjectWeight,15,1.0,g
3BStereognozie,secondObject,B,1.0,nominal
3BStereognozie,secondObjectWeight,20,1.0,g
3BStereognozie,choiceDone,A,1.0,nominal
3BStereognozie,firstObject,B,2.0,nominal
3BStereognozie,firstObjectWeight,20,2.0,g
3BStereognozie,secondObject,C,2.0,nominal
3BStereognozie,secondObjectWeight,32,2.0,g
3BStereognozie,choiceDone,C,2.0,nominal
3CStereognozie,gestureDisplayed,2,1.0,nominal
3CStereognozie,gestureSelected,2,1.0,nominal
3CStereognozie,selectedPosition,4,1.0,ordinal
3CStereognozie,gestureDisplayed,11,2.0,nominal
3CStereognozie,gestureSelected,11,2.0,nominal
3CStereognozie,selectedPosition,5,2.0,ordinal
3CStereognozie,gestureDisplayed,6,3.0,nominal
3CStereognozie,gestureSelected,7b,3.0,nominal
3CStereognozie,selectedPosition,2,3.0,ordinal
3CStereognozie,gestureDisplayed,7b,4.0,nominal
3CStereognozie,gestureSelected,11,4.0,nominal
3CStereognozie,selectedPosition,1,4.0,ordinal
3CStereognozie,gestureDisplayed,7c,5.0,nominal
3CStereognozie,gestureSelected,7b,5.0,nominal
